name,m,a,b,ecc,beta,R,trot,P,colour
Sun,332837,0,0,0,0,109.123,0,0,y
Mercury,0.055,0.387,0,0.12,7,0.383,58.646,0.241,c
Venus,0.815,0.723,0,0.01,0.949,243.018,0.615,0.615,m
Earth,1,1,0,0.02,0,1,1,1,g
Mars,0.107,1.523,0,0.09,1.85,0.533,1.026,1.881,r
Jupiter,317.85,5.202,0,0.05,1.31,11.209,0.413,11.861,c
Saturn,95.159,9.567,0,0.06,2.49,9.449,0.444,29.628,m
Uranus,14.5,19.293,0,0.05,0.77,4.007,0.718,84.747,g
Neptune,17.204,30.25,0,0.01,1.66,3.883,0.671,166.344,r
Pluto,0.003,39.509,0,0.25,17.5,0.187,6.387,248.348,c